,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
1084,4,8,1,20,19.0,6,0.013833333333333333,0.0005,0.013333333333333334,4,2,16,10,29.833333333333332,214.66666666666666,4.0
1085,4,8,1,20,30.0,6,0.0,0.0,0.0,2,2,15,10,12.5,125.33333333333333,7.0
1086,4,8,1,20,18.0,7,0.0007142857142857143,0.00042857142857142855,0.00028571428571428574,3,2,19,9,19.571428571428573,241.71428571428572,4.0
1087,4,8,1,20,12.0,6,0.001,0.0005,0.0005,3,2,14,2,23.166666666666668,264.0,4.0
1088,4,8,1,20,16.0,6,0.0,0.0,0.0,2,2,16,8,12.666666666666666,160.0,6.0
1089,4,8,1,20,20.0,7,0.003,0.0005714285714285715,0.0024285714285714284,3,2,14,6,26.0,141.42857142857142,5.0
1090,4,8,1,20,8.0,8,0.001125,0.000375,0.00075,4,4,16,2,62.0,528.0,3.0
1091,4,8,1,20,21.0,7,0.0,0.0,0.0,2,2,16,7,17.428571428571427,160.0,4.0
1092,4,8,1,20,15.0,7,0.00014285714285714287,0.00014285714285714287,0.0,2,2,15,7,13.428571428571429,115.42857142857143,5.0
1093,4,8,1,20,22.0,6,0.014666666666666666,0.00016666666666666666,0.0145,4,2,17,7,33.166666666666664,197.33333333333334,4.0
1094,4,8,1,20,13.0,5,0.0006,0.0004,0.0002,2,1,10,3,9.2,95.0,5.0
1095,4,8,1,20,8.0,6,0.0003333333333333333,0.0003333333333333333,0.0,3,3,15,1,41.333333333333336,396.0,4.0
1096,4,8,1,20,20.0,7,0.0,0.0,0.0,2,3,20,12,17.285714285714285,135.42857142857142,6.0
1097,4,8,1,20,11.0,5,0.0162,0.0004,0.0158,4,2,13,1,49.8,264.0,3.0
1098,4,8,1,20,14.5,6,0.012666666666666666,0.0005,0.012166666666666666,3,2,18,6,14.666666666666666,161.33333333333334,6.0
1099,4,8,1,20,15.5,6,0.0003333333333333333,0.0003333333333333333,0.0,2,2,15,1,10.166666666666666,80.66666666666667,7.0
1100,4,8,20,50,92.0,8,0.000375,0.000375,0.0,2,1,46,36,7.25,40.75,6.0
1101,4,8,20,50,39.0,9,0.00022222222222222223,0.00022222222222222223,0.0,3,3,49,34,28.11111111111111,279.0,3.0
1102,4,8,20,50,51.0,7,0.09185714285714286,0.00028571428571428574,0.09157142857142857,3,1,30,21,10.857142857142858,82.42857142857143,5.0
1103,4,8,20,50,83.0,8,0.012,0.00025,0.01175,4,2,50,34,37.25,294.0,4.0
1104,4,8,20,50,65.0,8,0.00075,0.0005,0.00025,3,2,39,32,25.125,195.75,4.0
1105,4,8,20,50,78.0,8,0.001375,0.0005,0.000875,2,1,39,23,5.875,38.25,7.0
